Abigail Spears
Adriana Barna
Adriana Gersi
Adriana Pereira
Adriana Perez
Adriana Serra Zanetti
Agnes Szavay
Agnieszka Radwanska
Agustine Limanto
Ahsha Rolle
Ai Sugiyama
Aiko Nakamura
Ainhoa Goni Blanco
Ajla Tomljanovic
Akgul Amanmuradova
Akiko Morigami
Akvile Parazinskaite
Alanna Broderick
Alberta Brianti
Alejandra Alvarez
Alejandra Granillo
Alejandra Rivero
Aleksandra Krunic
Aleksandra Wozniak
Alena Nesticka
Alexa Glatch
Alexandra Cadantu
Alexandra Dulgheru
Alexandra Fusai
Alexandra Panova
Alexandra Stevenson
Alexandria Liles
Aliaa Fakhry
Aliaksandra Sasnovich
Alicia Molik
Alina Jidkova
Alisa Kleybanova
Alison Riske
Alison Van Uytvanck
Alissa Velts
Alize Cornet
Alize Lim
Alla Kudryavtseva
Allie Kiick
Alma Michelle Espinosa Rodriguez
Alona Bondarenko
Alyssa Boey
Amanda Augustus
Amanda Coetzer
Amanda Grahame
Amanda Hopmans
Amelie Mauresmo
Amra Sadikovic
Amreetha Muttiah
Amy Bowtell
Amy Frazier
An Sophie Mestach
Ana Bogdan
Ana Cecilia Trevino
Ana Clara Duarte
Ana Ivanovic
Ana Konjuh
Ana Lucia Migliarini De Leon
Ana Maria Zuleta
Ana Sofia Cordero
Ana Timotic
Ana Vrljic
Anabel Medina Garrigues
Anabelle Espinosa Rodriguez
Anastasia Detiuc
Anastasia Myskina
Anastasia Pavlyuchenkova
Anastasia Pivovarova
Anastasia Rodionova
Anastasia Yakimova
Anastasija Sevastova
Anastasiya Prenko
Anca Barna
Anda Perianu
Andrea Brenes
Andrea Gamiz
Andrea Glass
Andrea Hlavackova
Andrea Koch Benvenuto
Andrea Petkovic
Andreea Ehritt Vanc
Andreja Klepac
Andria Tsaggaridou
Anete Bandere
Anett Kontaveit
Angela Haynes
Angeles Montolio
Angelika Roesch
Angelique Kerber
Angelique Widjaja
Ani Amiraghyan
Ani Mijacika
Aniko Kapros
Ankita Bhambri
Ankita Raina
Anna Chakvetadze
Anna Christine Patrimonio
Anna Clarice Patrimonio
Anna Gerasimou
Anna Karolina Schmiedlova
Anna Koumantou
Anna Kournikova
Anna Lapushchenkova
Anna Lena Friedsam
Anna Lena Groenefeld
Anna Movsisyan
Anna Smashnova
Anna Tatishvili
