tourney_id;tourney_name;surface;draw_size;tourney_level;tourney_date;match_num;winner_id;winner_seed;winner_entry;winner_name;winner_hand;winner_ht;winner_ioc;winner_age;winner_rank;winner_rank_points;loser_id;loser_seed;loser_entry;loser_name;loser_hand;loser_ht;loser_ioc;loser_age;loser_rank;loser_rank_points;score;best_of;round
2001-W-SL-AUS-01A-2001;Australian Open;Hard;128;G;20010115;1;200001;1;;Martina Hingis;R;170;SUI;20.2929500342;1;6252;200765;;;Katalin Marosi;R;;HUN;21.1772758385;124;258;6-1 6-1;3;R128
2001-W-SL-AUS-01A-2001;Australian Open;Hard;128;G;20010115;2;200042;;;Els Callens;R;;BEL;30.4065708419;95;336;200105;;;Rachel Mcquillan;U;;AUS;29.1225188227;106;295;6-3 6-1;3;R128
2001-W-SL-AUS-01A-2001;Australian Open;Hard;128;G;20010115;3;200124;;;Anne Kremer;R;;LUX;25.2484599589;38;777;201204;;;Iroda Tulyaganova;R;;UZB;19.022587269;78;432;6-4 2-6 6-4;3;R128
2001-W-SL-AUS-01A-2001;Australian Open;Hard;128;G;20010115;4;200043;;WC;Virginie Razzano;R;173;FRA;17.6810403833;144;210;200063;;;Tatiana Panova;R;;RUS;24.424366872;36;840;7-6(6) 6-3;3;R128
2001-W-SL-AUS-01A-2001;Australian Open;Hard;128;G;20010115;5;200767;;;Holly Parkinson;R;;USA;21.9301848049;105;297;200106;;;Angeles Montolio;R;;ESP;25.4455852156;54;623;6-2 6-2;3;R128
2001-W-SL-AUS-01A-2001;Australian Open;Hard;128;G;20010115;6;200103;;WC;Evie Dominikovic;R;;AUS;20.6324435318;129;251;200067;;;Patty Schnyder;L;168;SUI;22.0889801506;24;1058;4-6 6-1 6-3;3;R128
2001-W-SL-AUS-01A-2001;Australian Open;Hard;128;G;20010115;7;200010;;;Rita Grande;R;;ITA;25.8179329227;62;518;200061;;;Gala Leon Garcia;L;;ESP;27.0636550308;34;865;6-2 7-6(2);3;R128
2001-W-SL-AUS-01A-2001;Australian Open;Hard;128;G;20010115;8;200041;16;;Amy Frazier;R;;USA;28.3230663929;18;1236;200768;;Q;Laurence Andretto;R;;FRA;27.6741957563;190;128;7-5 6-4;3;R128
2001-W-SL-AUS-01A-2001;Australian Open;Hard;128;G;20010115;9;200108;9;;Elena Dementieva;R;180;RUS;19.2525667351;11;1812;200068;;;Lilia Osterloh;R;;USA;22.7761806982;43;733;6-4 6-3;3;R128
2001-W-SL-AUS-01A-2001;Australian Open;Hard;128;G;20010115;10;200745;;Q;Andrea Glass;R;;GER;24.4982888433;111;290;200056;;;Jelena Kostanic Tosic;L;168;CRO;19.5290896646;113;285;7-6(3) 6-4;3;R128
2001-W-SL-AUS-01A-2001;Australian Open;Hard;128;G;20010115;11;201286;;;Anabel Medina Garrigues;R;169;ESP;18.4613278576;104;301;200766;;;Jennifer Hopkins;R;;USA;19.9288158795;69;463;7-5 6-0;3;R128
2001-W-SL-AUS-01A-2001;Australian Open;Hard;128;G;20010115;12;201083;;;Daja Bedanova;R;;CZE;17.8562628337;51;638;200023;;WC;Bryanne Stewart;R;;AUS;21.1033538672;157;162;7-5 4-6 7-5;3;R128
2001-W-SL-AUS-01A-2001;Australian Open;Hard;128;G;20010115;13;200009;;;Tamarine Tanasugarn;R;165;THA;23.6468172485;30;937;200086;;;Magdalena Maleeva;R;168;BUL;25.7932922656;27;1011;7-6(2) 7-5;3;R128
2001-W-SL-AUS-01A-2001;Australian Open;Hard;128;G;20010115;14;200114;;;Patricia Wartusch;R;;AUT;22.4476386037;89;363;200084;;;Asa Svensson;R;;SWE;25.5852156057;60;560;7-6(6) 3-6 6-3;3;R128
2001-W-SL-AUS-01A-2001;Australian Open;Hard;128;G;20010115;15;200069;;;Nadia Petrova;R;178;RUS;18.6064339493;61;524;200764;;Q;Elena Bovina;R;189;RUS;17.8535249829;125;254;7-5 6-3;3;R128
2001-W-SL-AUS-01A-2001;Australian Open;Hard;128;G;20010115;16;200033;6;;Serena Williams;R;175;USA;19.3045859001;6;2374;200091;;WC;Janet Lee;R;;TPE;24.2327173169;118;278;6-1 6-4;3;R128
